month,doctor_id,doctor_name,specialty,state,region,molecule,brand,therapy_area,prescriptions,unique_patients,total_cost
2024-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,26,16,26446.95
2024-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,35,26,36231.45
2024-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,37,27,37712.73
2024-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Tirzepatide,Mounjaro,Diabetes & Metabolic,41,30,43503.04
2022-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,19,14,10142.71
2022-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,21,14,11782.87
2022-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,16,12,9344.06
2022-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,25,18,14409.71
2022-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,15,10,7742.93
2022-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,10,6,5306.94
2022-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,15,10,8570.35
2022-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,22,13,12295.23
2022-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,11,9,6529.61
2022-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,21,16,11929.59
2022-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,17,9,8914.75
2022-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,19,11,11012.3
2023-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,14,9,7182.62
2023-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,24,17,12462.22
2023-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,10,6,5491.37
2023-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,22,13,11603.74
2023-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,26,19,14689.43
2023-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,24,16,13283.48
2023-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,18,13,10325.51
2023-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,26,21,14499.34
2023-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,26,18,14371.87
2023-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,14,12,7861.19
2023-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,16,10,8130.95
2023-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,31,20,17318.65
2024-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,26,22,14575.38
2024-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,24,20,13666.11
2024-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,31,24,16886.56
2024-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,25,21,14816.07
2024-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,21,16,11266.32
2024-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,17,13,9334.59
2024-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,29,21,16720.86
2024-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,32,18,17241.53
2024-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,13,10,7393.97
2024-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,28,16,14745.89
2024-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,27,15,14884.76
2024-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Empagliflozin,Jardiance,Diabetes & Metabolic,29,19,16959.66
2022-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,17,14,14927.98
2022-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,20,15,17703.19
2022-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,13,8,10922.77
2022-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,14,11,13605.47
2022-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,13,8,11840.16
2022-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,16,13,14392.9
2022-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,10,6,8570.85
2022-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,16,11,15458.02
2022-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,17,11,16271.85
2022-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,11,9,9946.79
2022-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,18,13,15680.0
2022-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,12,7,11446.82
2023-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,13,10,12231.32
2023-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,15,13,13877.13
2023-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,20,14,16853.46
2023-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,16,9,15459.32
2023-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,10,6,8374.36
2023-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,15,10,12530.07
2023-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,10,6,9285.39
2023-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,11,7,9767.91
2023-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,20,14,17969.77
2023-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,13,10,12338.73
2023-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,13,8,11662.3
2023-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,18,12,17315.56
2024-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,19,11,16110.13
2024-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,24,15,19980.12
2024-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,11,7,10009.63
2024-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,18,10,17115.93
2024-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,18,14,17121.43
2024-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,16,14,14080.98
2024-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,20,16,18290.11
2024-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,12,8,10070.97
2024-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,19,15,16599.73
2024-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,22,13,18671.3
2024-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,19,13,18445.49
2024-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dulaglutide,Trulicity,Diabetes & Metabolic,23,17,19948.8
2022-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,10,8,5168.27
2022-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,13,11,6993.07
2022-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,14,9,8062.81
2022-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,15,12,9049.71
2022-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,12,7,7038.29
2022-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,13,8,7733.87
2022-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,11,7,6614.9
2022-08-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,8,6,4775.74
2022-09-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,9,7,5345.11
2022-10-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,11,8,6387.81
2022-11-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,16,9,9539.14
2022-12-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,7,5,3620.91
2023-01-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,12,9,6807.08
2023-02-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,13,11,7242.31
2023-03-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,10,7,5269.47
2023-04-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,10,7,6007.59
2023-05-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,11,9,6535.55
2023-06-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,11,7,6181.7
2023-07-01,DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast,Dapagliflozin,Farxiga,Diabetes & Metabolic,13,7,7258.44
